ChanceAustin,@GovMikeHuckabee Yes and you support this right? https://t.co/9d0PzQ2KbN,,Sat Aug 04 09:02:55 +0000 2018
dahliafriedman3,RT @RealMartynHale: Why are you spending thousands of dollars on contaminated bottle water a year when you can own your own Kangen Water ma…,"Why are you spending thousands of dollars on contaminated bottle water a year when you can own your own Kangen Water machine, the best drinking water on the planet. #bottlewatersucks #kangenwater #Water https://t.co/1mb6g8soQ9",Thu Aug 02 20:07:23 +0000 2018
LPITFC1996,@illinoisblue @joefairs @jones_itfc Water must be contaminated out that way,,Thu Aug 02 20:03:31 +0000 2018
abbeybramell,RT @nuII_dog: This is a funny image of a sink spewing fire but let me take advantage of your valuable attention to educate you why fracking…,"This is a funny image of a sink spewing fire but let me take advantage of your valuable attention to educate you why fracking (which causes contaminated flammable tap water) can literally fucking kill you and why it should really REALLY be more regulated
https://t.co/1feGAzwA3f",Thu Aug 02 20:01:58 +0000 2018
morganloewcbs5,RT @GeneralBrnovich: An Arizona mining corporation has been ordered by a Maricopa County judge to pay a $2.7 million fine for contaminating…,An Arizona mining corporation has been ordered by a Maricopa County judge to pay a $2.7 million fine for contaminating a public creek with arsenic. https://t.co/HSADjM9K6W,Thu Aug 02 20:01:47 +0000 2018
verlie_eskro,RT @RealMartynHale: Why are you spending thousands of dollars on contaminated bottle water a year when you can own your own Kangen Water ma…,"Why are you spending thousands of dollars on contaminated bottle water a year when you can own your own Kangen Water machine, the best drinking water on the planet. #bottlewatersucks #kangenwater #Water @verified @Real_Octavius @MelvinGregg @jamescburns @amytalkington https://t.co/Q2vJHMTjW3",Thu Aug 02 20:01:24 +0000 2018
flumpyjkl,"RT @exoticgamora: Reports just released that ground water in Satellite Beach is contaminated with cancer causing chemicals

The same chemic…","Reports just released that ground water in Satellite Beach is contaminated with cancer causing chemicals

The same chemicals used in military firefighting foam at Patrick Air Force base

Local officials &amp; community had been raising alarm about the unusual number of cancer cases https://t.co/dpo7xyURpI",Thu Aug 02 20:01:19 +0000 2018
SojournTravel,RT @Christseekerk: Michigan expands PFAS testing around contaminated tapwater https://t.co/HYjhIi5oh1 #water High levels of PFAS found in P…,"Michigan expands PFAS testing around contaminated tapwater https://t.co/HYjhIi5oh1 #water High levels of PFAS found in Parchment tapwater. Private wells near Parchment also being tested. Parchment, ""The Paper City,"" was built around a paper mill along the Kalamazoo River.",Thu Aug 02 20:01:00 +0000 2018
SojournTravel,RT @Christseekerk: Residents of 2 Michigan towns warned of contaminated tapwater https://t.co/OD5fXUUpkM Toxins found in Parchment #water s…,"Residents of 2 Michigan towns warned of contaminated tapwater https://t.co/OD5fXUUpkM Toxins found in Parchment #water supply. Kalamazoo County warning anyone on this water supply not to use it for drinking, cooking, making baby formula and food, or rinsing fruits and vegetables",Thu Aug 02 20:00:52 +0000 2018
barrettmarson,RT @GeneralBrnovich: An Arizona mining corporation has been ordered by a Maricopa County judge to pay a $2.7 million fine for contaminating…,An Arizona mining corporation has been ordered by a Maricopa County judge to pay a $2.7 million fine for contaminating a public creek with arsenic. https://t.co/HSADjM9K6W,Thu Aug 02 20:00:16 +0000 2018
NAHKRIHAT,#Paris #Lahore sewerage water is found contaminated with #PolioVirus  .. Shabaz Sharif ki shobdabazian .. Lahoris to be careful,,Thu Aug 02 19:58:11 +0000 2018
GeneralBrnovich,An Arizona mining corporation has been ordered by a Maricopa County judge to pay a $2.7 million fine for contaminating a public creek with arsenic. https://t.co/HSADjM9K6W,,Thu Aug 02 19:57:42 +0000 2018
takeme2rehoboth,"RT @exoticgamora: Reports just released that ground water in Satellite Beach is contaminated with cancer causing chemicals

The same chemic…","Reports just released that ground water in Satellite Beach is contaminated with cancer causing chemicals

The same chemicals used in military firefighting foam at Patrick Air Force base

Local officials &amp; community had been raising alarm about the unusual number of cancer cases https://t.co/dpo7xyURpI",Thu Aug 02 19:56:09 +0000 2018
gilbmarie,"RT @exoticgamora: Reports just released that ground water in Satellite Beach is contaminated with cancer causing chemicals

The same chemic…","Reports just released that ground water in Satellite Beach is contaminated with cancer causing chemicals

The same chemicals used in military firefighting foam at Patrick Air Force base

Local officials &amp; community had been raising alarm about the unusual number of cancer cases https://t.co/dpo7xyURpI",Thu Aug 02 19:53:40 +0000 2018
dbcdthumper5,"Michiganders should never vote for any Republicans because they are not fixing the Flint water crisis and this contaminated water is happening all over the state, they are doing nothing to help all the people suffering from this. #VoteThemOut2018 #VoteBlueWave save Michigan https://t.co/47pDyPFN8B",,Thu Aug 02 19:51:30 +0000 2018
Naziscansukit,"RT @exoticgamora: Reports just released that ground water in Satellite Beach is contaminated with cancer causing chemicals

The same chemic…","Reports just released that ground water in Satellite Beach is contaminated with cancer causing chemicals

The same chemicals used in military firefighting foam at Patrick Air Force base

Local officials &amp; community had been raising alarm about the unusual number of cancer cases https://t.co/dpo7xyURpI",Thu Aug 02 19:45:29 +0000 2018
babysaymyNAME,Lol I drove all the way to Sanibel to meet my family for vacation and the water is CONTAMINATED. bye,,Thu Aug 02 19:37:02 +0000 2018
FSeroto,"RT @News24: 100 school learners hospitalized and monitored after drinking contaminated water

https://t.co/wW2Fwd4zLh https://t.co/ejwsqrEu…","100 school learners hospitalized and monitored after drinking contaminated water

https://t.co/wW2Fwd4zLh https://t.co/ejwsqrEuAY",Thu Aug 02 19:32:30 +0000 2018
spiralunbound,@westerndigital Is this a US thing? Worrying that your water is contaminated? Is it because you allow #Fracking and have weak environmental laws?,,Thu Aug 02 19:31:07 +0000 2018
chadsteyn69,RT @krileayn: @afriforum Kannemeyer fails his duties by allowing the Vaal River to be contaminated. AfriForum has poured water purifiers in…,@afriforum Kannemeyer fails his duties by allowing the Vaal River to be contaminated. AfriForum has poured water purifiers into the river that can purge up to 12 megaliters of water. This is the first phase of project #VrotVaal #RedOnsVaal #SkoonSA.,Thu Aug 02 19:27:36 +0000 2018
suzannaaissi11,RT @RealMartynHale: Why are you spending thousands of dollars on contaminated bottle water a year when you can own your own Kangen Water ma…,"Why are you spending thousands of dollars on contaminated bottle water a year when you can own your own Kangen Water machine, the best drinking water on the planet. #bottlewatersucks #kangenwater #Water https://t.co/1mb6g8soQ9",Thu Aug 02 19:26:44 +0000 2018
SurveyGirl,"@realDonaldTrump @foxandfriends Go do your job. There are displaced children, contaminated water in Flint &amp; help is still needed in Puerto Rico. Meanwhile, you’re obsessed with TV. Sad.",,Thu Aug 02 19:18:12 +0000 2018
dmneal,"RT @Pianobirdy: @Brasilmagic Maybe there's some kind of undetectable brain virus or contaminated food or water thing going on, and some peo…","@Brasilmagic Maybe there's some kind of undetectable brain virus or contaminated food or water thing going on, and some people's bodies just don't have the immunity to fight against it. Surely there's some explanation. Geez....",Thu Aug 02 19:17:13 +0000 2018
kaybeenoni,"RT @aproko_doctor: About Hepatitis
There are 5 types
A- gotten from contaminated food
B- gotten from contact with blood, semen, vaginal sec…","About Hepatitis
There are 5 types
A- gotten from contaminated food
B- gotten from contact with blood, semen, vaginal secretion.
C- Gotten through the same as B
D- is the brother of B, D can't multiply
E- from. Contaminated water.

Stop using another's toothbrush
Dont share sharps",Thu Aug 02 19:17:00 +0000 2018
MartinSchapiro_,"@Jorge_Hirsch Por decir algo sobre como se vive, luego hablamos de cómo se sale. No creo que tampoco hayas ido a Gaza. No te jodo más con datos. Saludos.
https://t.co/CPTqJ4VU7D",,Thu Aug 02 19:15:01 +0000 2018
pokiemans,"Lofi
Water/Ghost
Texho ➡️ Fullee ➡️ Lofi
Gargantuan‚ and scaly‚ with large heads. Relatively common Water/Ghost pokémon with a contaminated thorax. They occasionally have a disproportionately huge torso.",,Thu Aug 02 19:13:48 +0000 2018
_TheRobynShow,RT @_Ashess_: I would advise everyone in Grenada to limit the consumption of pipe water for the next few days.This amount of rainfall can c…,I would advise everyone in Grenada to limit the consumption of pipe water for the next few days.This amount of rainfall can cause the water supply to get highly contaminated which can lead to a number of illnesses.Try to boil water or drink bottled water. Be safe guys✌,Thu Aug 02 19:13:16 +0000 2018
porqueporque,RT @_Ashess_: I would advise everyone in Grenada to limit the consumption of pipe water for the next few days.This amount of rainfall can c…,I would advise everyone in Grenada to limit the consumption of pipe water for the next few days.This amount of rainfall can cause the water supply to get highly contaminated which can lead to a number of illnesses.Try to boil water or drink bottled water. Be safe guys✌,Thu Aug 02 19:10:40 +0000 2018
RealMartynHale,"Why are you spending thousands of dollars on contaminated bottle water a year when you can own your own Kangen Water machine, the best drinking water on the planet. #bottlewatersucks #kangenwater #Water @verified @Real_Octavius @jamescburns @LucasRothMusic @HunterFischer5 https://t.co/rjWGBhmbLy",,Thu Aug 02 19:08:21 +0000 2018
ColorArousal,"@chton @lisaquestions @arthur_affect @verdeyen @BootlegGirl @atonal440 It will never become economically advantageous for the nuclear industry to treat or dispose of spent fuel or contaminated water in the safest ways.

It will always be less expensive for them to dump it in the groundwater.

We are always one GOP deregulation effort from disaster.",,Thu Aug 02 19:08:12 +0000 2018
SATIRE_SEVS_DFS,"@irishrygirl @Jaysims27 Ever seen ""Spirited Away?"" Remember the giant mass of contaminated river water that wanted to soak away all the vile garbage infecting it? They called it a ""stink spirit.""  That's Trump's spirit animal. 

His soul is No-Face.",,Thu Aug 02 19:06:02 +0000 2018
vivalavoices,"What do you need health care for? With Trump stripping away clean water &amp; air protections, along w/hazardous chemical protections, oil/gas bullying &amp; polluting, health care kind of a moot point. Let's not forget all those nuke tests in NV - down-winder state's, all contaminated. https://t.co/OvpU3j6zOV",,Thu Aug 02 19:05:12 +0000 2018
RealMartynHale,"Why are you spending thousands of dollars on contaminated bottle water a year when you can own your own Kangen Water machine, the best drinking water on the planet. #bottlewatersucks #kangenwater #Water https://t.co/1mb6g8soQ9",,Thu Aug 02 19:02:19 +0000 2018
RealMartynHale,"Why are you spending thousands of dollars on contaminated bottle water a year when you can own your own Kangen Water machine, the best drinking water on the planet. #bottlewatersucks #kangenwater #Water @verified @Real_Octavius @MelvinGregg @jamescburns @amytalkington https://t.co/Q2vJHMTjW3",,Thu Aug 02 19:02:12 +0000 2018
Flatsquid,"Which goes to show that homeopathy manufacturers must be using contaminated water for their 'remedies'
Nice solid self-own there.. https://t.co/Q4NZY4Zfm6",,Thu Aug 02 19:01:52 +0000 2018
chadmath,"...unbelievable... 
""Snyder dismissed from Flint contaminated water class-action lawsuit""... https://t.co/YZZIzcDRHe",,Thu Aug 02 18:57:54 +0000 2018
sirenamel,RT @ToxicsAction: Two Vermont schools found with #PFAS contaminated drinking water at levels above the state's limit. https://t.co/Wh1nF1qA…,Two Vermont schools found with #PFAS contaminated drinking water at levels above the state's limit. https://t.co/Wh1nF1qA75,Thu Aug 02 18:52:55 +0000 2018
Balo_Mos,RT @SancoCape: More than 100 pupils from St. Matthews High were admitted to hospital after drinking suspected contaminated water which was…,"More than 100 pupils from St. Matthews High were admitted to hospital after drinking suspected contaminated water which was delivered by Amathole District Municipality. SANCO PEC member, CDE Khosi Nongqayi attended to the matter and saw to it the children got much needed care https://t.co/nPxZmXbsHe",Thu Aug 02 18:50:48 +0000 2018
Fem_Atheist,RT @LeeCamp: A state of emergency was declared in yet another Michigan city due to contaminated water. No one in Kalamazoo should drink the…,"A state of emergency was declared in yet another Michigan city due to contaminated water. No one in Kalamazoo should drink the water. ...As the corporate elite extract the last remaining resources &amp; gut regulations, the 99% will be left to drink polluted water &amp; eat rotten food.",Thu Aug 02 18:49:36 +0000 2018
hashudaipur,"4 dead, two dozen ill due to contaminated water in Chittorgarh - Times of India https://t.co/crQFWg7NQP #Udaipur #News",,Thu Aug 02 18:44:21 +0000 2018
GayMenSA,RT @krileayn: @afriforum Kannemeyer fails his duties by allowing the Vaal River to be contaminated. AfriForum has poured water purifiers in…,@afriforum Kannemeyer fails his duties by allowing the Vaal River to be contaminated. AfriForum has poured water purifiers into the river that can purge up to 12 megaliters of water. This is the first phase of project #VrotVaal #RedOnsVaal #SkoonSA.,Thu Aug 02 18:37:10 +0000 2018
tak_jord,Not supporting hunting. But continued use of lead in shot is extremely damaging to environment. Wildlife is hurt and water contaminated. #hunting https://t.co/nHLcuYOqMH,,Thu Aug 02 18:30:50 +0000 2018
LoveLukejoy,@ugotsamboozled Moonshine contaminated with Kanawha river water,,Thu Aug 02 18:26:42 +0000 2018
LeaHaller55,"RT @CEHN: When children are exposed to contaminated drinking water, they're at a higher risk of negative health impacts. Learn the major so…","When children are exposed to contaminated drinking water, they're at a higher risk of negative health impacts. Learn the major sources of lead in water &amp; join the national effort to replace lead service lines via the Take Action page: https://t.co/LwmZDwVUKH #ChildrenAtTheCenter https://t.co/OnvAD9mtoG",Thu Aug 02 18:24:32 +0000 2018
srikki03,"RT @exoticgamora: Reports just released that ground water in Satellite Beach is contaminated with cancer causing chemicals

The same chemic…","Reports just released that ground water in Satellite Beach is contaminated with cancer causing chemicals

The same chemicals used in military firefighting foam at Patrick Air Force base

Local officials &amp; community had been raising alarm about the unusual number of cancer cases https://t.co/dpo7xyURpI",Thu Aug 02 18:21:01 +0000 2018
RealTimMitchell,"RT @jonmitchell_jp: Japan: Following 3.11 Fukushima meltdowns, US military dumped 120,000+ liters of radiation-contaminated waste water int…","Japan: Following 3.11 Fukushima meltdowns, US military dumped 120,000+ liters of radiation-contaminated waste water into sewers at Atsugi and Misawa bases - with Japanese govt approval. 
#日米地位協定と基地公害 https://t.co/q85XC7KvPK",Thu Aug 02 18:17:21 +0000 2018
sathiyendra2,RT @krishnajiooaowa: One Humanity Care -Ubbalamadugu waterfalls and Forest no more contaminated by plastic and alcohol bottles and more suc…,"One Humanity Care -Ubbalamadugu waterfalls and Forest no more contaminated by plastic and alcohol bottles and more such hazardous things. OHC volunteers support the cause of caring for the land, water, air, birds and animals. People can now see how it benefits many lives. https://t.co/Msp0efe3Tl",Thu Aug 02 18:16:39 +0000 2018
ToxicsAction,Two Vermont schools found with #PFAS contaminated drinking water at levels above the state's limit. https://t.co/Wh1nF1qA75,,Thu Aug 02 18:15:05 +0000 2018
ColorArousal,"@chton @lisaquestions @arthur_affect @verdeyen @BootlegGirl @atonal440 Nuclear plants generate spent fuel that must be disposed of somewhere.  Bernie Sanders was already embarrassed trying to dispose of Vermont'spent fuel in TX or NM.

The more nuclear plants there are, the more spent fuel and contaminated water there will be.

Agreed?",,Thu Aug 02 18:15:03 +0000 2018
LlaoLine,"RT @LlaoLine: @NOAANCEIclimate @pablorodas Zones of nuclear complexes, atomic-related industries drying out their ores at the threatening g…","@NOAANCEIclimate @pablorodas Zones of nuclear complexes, atomic-related industries drying out their ores at the threatening generalized fire, polluted radioactivity waters from atomic dumps/contaminated groundwater/river water bins by contaminated cooling water discharged into watercourse burning all around.",Thu Aug 02 18:12:37 +0000 2018
LlaoLine,"@NOAANCEIclimate @pablorodas Zones of nuclear complexes, atomic-related industries drying out their ores at the threatening generalized fire, polluted radioactivity waters from atomic dumps/contaminated groundwater/river water bins by contaminated cooling water discharged into watercourse burning all around.",,Thu Aug 02 18:12:08 +0000 2018
mpetrie98,Citizens Against Contaminated Water for Service Members and their Families https://t.co/V8aIuY6y9S via @Change,,Thu Aug 02 18:07:20 +0000 2018
aineduck97,RT @bbcnewsline: Dozens of households in County Armagh have been told not to drink or use their water for cooking after it was found to be…,Dozens of households in County Armagh have been told not to drink or use their water for cooking after it was found to be contaminated with fuel.  The system is being pumped.  We'll have all the details at 6:30pm on BBC One: https://t.co/OgsGTxQLMu,Thu Aug 02 18:07:09 +0000 2018
EDFHealth,"RT @CEHN: When children are exposed to contaminated drinking water, they're at a higher risk of negative health impacts. Learn the major so…","When children are exposed to contaminated drinking water, they're at a higher risk of negative health impacts. Learn the major sources of lead in water &amp; join the national effort to replace lead service lines via the Take Action page: https://t.co/LwmZDwVUKH #ChildrenAtTheCenter https://t.co/OnvAD9mtoG",Thu Aug 02 18:04:59 +0000 2018
thatKid65,"@indivisible_usa @tweetingWien @KtchnBtch @ARmastrangelo Tap water is unsafe for consumption in most places in the USA. Just saying, I’m not using a yeti to drink lead, fluoride and soil contaminated water. Sorry my health and cognitive brain function is more important to me.",,Thu Aug 02 18:02:51 +0000 2018
CEHN,"When children are exposed to contaminated drinking water, they're at a higher risk of negative health impacts. Learn the major sources of lead in water &amp; join the national effort to replace lead service lines via the Take Action page: https://t.co/LwmZDwVUKH #ChildrenAtTheCenter https://t.co/OnvAD9mtoG",,Thu Aug 02 18:00:16 +0000 2018
pennyappeal,"Here is a shallow tube well, where Rohingya refugee families live in the shelter village.

This water is desperately needed during the monsoon season where these villages are flooded with contaminated and unsafe water.

Donate Now: https://t.co/Howy55rwAI 
Or call 03000 11 11 11. https://t.co/zSZ5JcrGfw",,Thu Aug 02 17:59:55 +0000 2018
LilyRex,"RT @exoticgamora: Reports just released that ground water in Satellite Beach is contaminated with cancer causing chemicals

The same chemic…","Reports just released that ground water in Satellite Beach is contaminated with cancer causing chemicals

The same chemicals used in military firefighting foam at Patrick Air Force base

Local officials &amp; community had been raising alarm about the unusual number of cancer cases https://t.co/dpo7xyURpI",Thu Aug 02 17:50:27 +0000 2018
mbakunin,"@BruceRauner @JBPritzker With 96 days left, Bruce Rauner has still not clarified how many more elderly veterans he plans to kill with contaminated water pipes (his current total is 14)...",,Thu Aug 02 17:47:08 +0000 2018
VijayShadean,"RT @News24: 100 school learners hospitalized and monitored after drinking contaminated water

https://t.co/wW2Fwd4zLh https://t.co/ejwsqrEu…","100 school learners hospitalized and monitored after drinking contaminated water

https://t.co/wW2Fwd4zLh https://t.co/ejwsqrEuAY",Thu Aug 02 17:38:29 +0000 2018
Healthgirl13,Citizens Against Contaminated Water for Service Members and their Families - Sign the Petition! https://t.co/3C7mvpMw6O via @Change,,Thu Aug 02 17:36:41 +0000 2018
EurekaMag,RT @EurekaMag: UV-irradiation and leaching in water reduce the toxicity of imidacloprid-contaminated leaves to the aquatic leaf-shredding a…,UV-irradiation and leaching in water reduce the toxicity of imidacloprid-contaminated leaves to the aquatic leaf-shredding amphipod Gammarus fossarum https://t.co/E8wboLIUPP https://t.co/tU6TJShEhS,Thu Aug 02 17:34:05 +0000 2018
martell_sincere,"RT @thestoppedclock: @MonsantoCo It's a dark day in #History, #Insects dead in record numbers, dead #soil, #air and #water contaminated wit…","@MonsantoCo It's a dark day in #History, #Insects dead in record numbers, dead #soil, #air and #water contaminated with #toxic #poisons, #food that literally makes us ill.

#Pesticides are a crime - #Bayer and #Monsanto are criminals  – together they’ll kill everything

#ThursdayThoughts",Thu Aug 02 17:33:13 +0000 2018
BatchelorLaw,"RT @exoticgamora: Reports just released that ground water in Satellite Beach is contaminated with cancer causing chemicals

The same chemic…","Reports just released that ground water in Satellite Beach is contaminated with cancer causing chemicals

The same chemicals used in military firefighting foam at Patrick Air Force base

Local officials &amp; community had been raising alarm about the unusual number of cancer cases https://t.co/dpo7xyURpI",Thu Aug 02 17:33:06 +0000 2018
neo_zaq,"@MehrTarar It’s a funny world where millions suffer and die from food deprivation, contaminated water, injustice, police brutality, murder and the list goes on but people are sympathetic towards the ones who caused all this suffering...",,Thu Aug 02 17:32:22 +0000 2018
Iamfluid,@ProductionThing @GovernorTomWolf @EPA @POTUS Wow- bitter ?! Well let’s see if you had no water since 2011 - and your government IGNORES you?Or if your water has been contaminated or if you had several sinkholes in your yard from pipeline drilling - or if YOU were lied to about what in the pipeline?Would you be bitter?#NIMBY,,Thu Aug 02 17:31:27 +0000 2018
MatthewDChurch,RT @nuII_dog: This is a funny image of a sink spewing fire but let me take advantage of your valuable attention to educate you why fracking…,"This is a funny image of a sink spewing fire but let me take advantage of your valuable attention to educate you why fracking (which causes contaminated flammable tap water) can literally fucking kill you and why it should really REALLY be more regulated
https://t.co/1feGAzwA3f",Thu Aug 02 17:30:39 +0000 2018
goldencurlss,RT @nuII_dog: This is a funny image of a sink spewing fire but let me take advantage of your valuable attention to educate you why fracking…,"This is a funny image of a sink spewing fire but let me take advantage of your valuable attention to educate you why fracking (which causes contaminated flammable tap water) can literally fucking kill you and why it should really REALLY be more regulated
https://t.co/1feGAzwA3f",Thu Aug 02 17:28:54 +0000 2018
adamisalamb,"RT @exoticgamora: Reports just released that ground water in Satellite Beach is contaminated with cancer causing chemicals

The same chemic…","Reports just released that ground water in Satellite Beach is contaminated with cancer causing chemicals

The same chemicals used in military firefighting foam at Patrick Air Force base

Local officials &amp; community had been raising alarm about the unusual number of cancer cases https://t.co/dpo7xyURpI",Thu Aug 02 17:28:22 +0000 2018
lynetso,https://t.co/7sGHSVaRFg,,Thu Aug 02 17:27:00 +0000 2018
lynetso,https://t.co/7sGHSVaRFg,,Thu Aug 02 17:26:47 +0000 2018
Bookplace1717,"RT @exoticgamora: Reports just released that ground water in Satellite Beach is contaminated with cancer causing chemicals

The same chemic…","Reports just released that ground water in Satellite Beach is contaminated with cancer causing chemicals

The same chemicals used in military firefighting foam at Patrick Air Force base

Local officials &amp; community had been raising alarm about the unusual number of cancer cases https://t.co/dpo7xyURpI",Thu Aug 02 17:23:09 +0000 2018
BSkoobie,"RT @exoticgamora: Reports just released that ground water in Satellite Beach is contaminated with cancer causing chemicals

The same chemic…","Reports just released that ground water in Satellite Beach is contaminated with cancer causing chemicals

The same chemicals used in military firefighting foam at Patrick Air Force base

Local officials &amp; community had been raising alarm about the unusual number of cancer cases https://t.co/dpo7xyURpI",Thu Aug 02 17:20:08 +0000 2018
Romanticide,RT @Foone: They then tried to move back to the Bikini atoll only to find that the scientists were wrong and the radiation levels were still…,"They then tried to move back to the Bikini atoll only to find that the scientists were wrong and the radiation levels were still dangerous, the water table was contaminated with Strontium-90, the Coconut trees were producing coconuts full of radioactive Cesium.",Thu Aug 02 17:13:36 +0000 2018
SiiweTali,RT @SancoCape: More than 100 pupils from St. Matthews High were admitted to hospital after drinking suspected contaminated water which was…,"More than 100 pupils from St. Matthews High were admitted to hospital after drinking suspected contaminated water which was delivered by Amathole District Municipality. SANCO PEC member, CDE Khosi Nongqayi attended to the matter and saw to it the children got much needed care https://t.co/nPxZmXbsHe",Thu Aug 02 17:11:05 +0000 2018
KohlmannT,RT @LeeCamp: A state of emergency was declared in yet another Michigan city due to contaminated water. No one in Kalamazoo should drink the…,"A state of emergency was declared in yet another Michigan city due to contaminated water. No one in Kalamazoo should drink the water. ...As the corporate elite extract the last remaining resources &amp; gut regulations, the 99% will be left to drink polluted water &amp; eat rotten food.",Thu Aug 02 17:10:38 +0000 2018
No1Ghirl,RT @bbcnewsline: Dozens of households in County Armagh have been told not to drink or use their water for cooking after it was found to be…,Dozens of households in County Armagh have been told not to drink or use their water for cooking after it was found to be contaminated with fuel.  The system is being pumped.  We'll have all the details at 6:30pm on BBC One: https://t.co/OgsGTxQLMu,Thu Aug 02 17:06:38 +0000 2018
boldbizcoach,"RT @Pianobirdy: @Brasilmagic Maybe there's some kind of undetectable brain virus or contaminated food or water thing going on, and some peo…","@Brasilmagic Maybe there's some kind of undetectable brain virus or contaminated food or water thing going on, and some people's bodies just don't have the immunity to fight against it. Surely there's some explanation. Geez....",Thu Aug 02 17:05:38 +0000 2018
NOSGAMES,"RT @Pianobirdy: @Brasilmagic Maybe there's some kind of undetectable brain virus or contaminated food or water thing going on, and some peo…","@Brasilmagic Maybe there's some kind of undetectable brain virus or contaminated food or water thing going on, and some people's bodies just don't have the immunity to fight against it. Surely there's some explanation. Geez....",Thu Aug 02 17:05:14 +0000 2018
deejalston,"@breakfastclubam How about removing the mold, mildew, contaminated water, uncleanly conditions inside/outside of the building, and most of all place a damn awning on the entrances so that water from the air conditioners do not hit you every single time.  Then we can worry about second-hand smoke.",,Thu Aug 02 17:03:37 +0000 2018
deejalston,"@NYDailyNews How about removing the mold, mildew, contaminated water, uncleanly conditions inside/outside of the building, and most of all place a damn awning on the entrances so that water from the air conditioners do not hit you every single time.  Then we can worry about second-hand smoke.",,Thu Aug 02 17:03:22 +0000 2018
blount45bb,RT @44TheLegend: Snyder dismissed from Flint contaminated water class-action lawsuit https://t.co/tmRSu0JeLa via @detroitnews,Snyder dismissed from Flint contaminated water class-action lawsuit https://t.co/tmRSu0JeLa via @detroitnews,Thu Aug 02 17:03:05 +0000 2018
deejalston,"@NY1 How about removing the mold, mildew, contaminated water, uncleanly conditions inside/outside of the building, and most of all place a damn awning on the entrances so that water from the air conditioners do not hit you every single time.  Then we can worry about second-hand smoke.",,Thu Aug 02 17:02:19 +0000 2018
Lesego_Mkhize,RT @DrumMagazine: The learners had been complaining of stomach aches after drinking contaminated water. https://t.co/og8WX1v9SY,The learners had been complaining of stomach aches after drinking contaminated water. https://t.co/og8WX1v9SY,Thu Aug 02 17:01:47 +0000 2018
MomNlterry,"RT @exoticgamora: Reports just released that ground water in Satellite Beach is contaminated with cancer causing chemicals

The same chemic…","Reports just released that ground water in Satellite Beach is contaminated with cancer causing chemicals

The same chemicals used in military firefighting foam at Patrick Air Force base

Local officials &amp; community had been raising alarm about the unusual number of cancer cases https://t.co/dpo7xyURpI",Thu Aug 02 16:59:08 +0000 2018
LegalNewsline,Court orders Arizona mining business to pay $2.7 million for leaking arsenic-contaminated water  https://t.co/6BH1dDUQOv,,Thu Aug 02 16:58:50 +0000 2018
bbcnewsline,Dozens of households in County Armagh have been told not to drink or use their water for cooking after it was found to be contaminated with fuel.  The system is being pumped.  We'll have all the details at 6:30pm on BBC One: https://t.co/OgsGTxQLMu,,Thu Aug 02 16:56:23 +0000 2018
Chiomaaneke,"RT @RtlWell: personal hygiene plays important role in preventing hepatitis A ,if more awareness is created on WASH (water,sanitation and hy…","personal hygiene plays important role in preventing hepatitis A ,if more awareness is created on WASH (water,sanitation and hygiene) those that can't access the Vaccine can prevent the infection since it transmited from contaminated food and H20. #WorldHepatitisDayNG @WHONigeria https://t.co/Pp4pvHiHBo",Thu Aug 02 16:55:32 +0000 2018
Pianobirdy,"@Brasilmagic Maybe there's some kind of undetectable brain virus or contaminated food or water thing going on, and some people's bodies just don't have the immunity to fight against it. Surely there's some explanation. Geez....",,Thu Aug 02 16:55:20 +0000 2018
CherylHerrmann2,APOCALYPTIC SW FL due to water releases from Contaminated Lake Okeechobee! Not word from our Governor or POTUS 😡☠️🌎🐬🐠🐢🐋😭🙏🏼 https://t.co/WiCwgfbNSG,,Thu Aug 02 16:55:06 +0000 2018
larry_kurtz,Research confirms fecal bacteria contaminated surface water after Hurricane Harvey https://t.co/ocmBsaMvJp,,Thu Aug 02 16:52:49 +0000 2018
carlyinNJ,RT @LeeCamp: A state of emergency was declared in yet another Michigan city due to contaminated water. No one in Kalamazoo should drink the…,"A state of emergency was declared in yet another Michigan city due to contaminated water. No one in Kalamazoo should drink the water. ...As the corporate elite extract the last remaining resources &amp; gut regulations, the 99% will be left to drink polluted water &amp; eat rotten food.",Thu Aug 02 16:52:21 +0000 2018
WaterWired,From @UTSA: Study confirms water contamination from Harvey https://t.co/HZOaqM1i8i via @BCWaterNews  #txwater @TxWRI @TAMU_Water @TAMU_NRI,,Thu Aug 02 16:51:41 +0000 2018
AnIur78,"RT @LizK1988: **Contaminated Water Carn Road/Green Road - Killeavey**
The most recent update from NI Water this afternoon is that they’re…","**Contaminated Water Carn Road/Green Road - Killeavey**
The most recent update from NI Water this afternoon is that they’re  still flushing the system &amp; working closely with 41 houses affected.
We will continue 2work with NI Water to resolve this issue.@mfearonsf  @newryarmaghsf",Thu Aug 02 16:48:33 +0000 2018
stevebartontt,RT @B1G1: DID YOU KNOW the world loses 1800 children everyday from diarrhea due to contaminated water? But did you know we only need 8 #cof…,DID YOU KNOW the world loses 1800 children everyday from diarrhea due to contaminated water? But did you know we only need 8 #coffee shops to take action today to save those children? Be part of this movement and transform our world: https://t.co/mMI3CPJVAH #cafe #philanthropy https://t.co/vk5krAbEVV,Thu Aug 02 16:47:48 +0000 2018
